# segment file written by condition_segs: version 05/07/22
# some SrTiO3 data from http://mimp.materials.cmu.edu/~gr20/Grain_Boundary_Data_Archive/SrTiO3_1/SrT
# comment: Some SrTiO3 data from the Grain_Boundary_Data_Archive                                               
#   phi1     PHI      phi2     phi1     PHI      phi2        x1         y1         x2         y2 
    4.059    0.658    2.280    1.422    0.615    5.544      8.850     40.620      9.000     40.700
    1.074    0.569    5.282    4.059    0.658    2.280      8.850     40.960      9.000     40.700
    1.691    0.684    4.180    1.445    0.387    4.571      9.000      1.390      8.550      0.090
    5.642    0.656    0.152    1.445    0.387    4.571      9.000      1.390      9.750      1.990
    6.080    0.145    0.390    3.715    0.863    2.433      9.000     18.010      9.150     17.580
    3.715    0.863    2.433    3.661    0.837    2.029      9.000     18.010     10.200     20.960
    1.074    0.569    5.282    1.422    0.615    5.544      9.000     40.700      9.900     40.360
    2.869    0.491    3.992    1.074    0.569    5.282      9.000     41.740      9.000     41.920
    3.715    0.863    2.433    6.038    0.791    0.257      9.150     17.580     11.400     17.490
    6.038    0.791    0.257    1.130    0.631    4.673      9.300     11.600     11.400     13.160
    1.130    0.631    4.673    3.228    0.182    3.385      9.300     11.600     10.500      9.700
    3.351    0.678    2.965    2.962    0.759    2.975      9.300     29.790      9.300     34.640
    3.351    0.678    2.965    5.996    0.560    0.363      9.300     29.790     10.350     29.190
    3.351    0.678    2.965    1.422    0.615    5.544      9.300     34.640     10.950     36.980
    2.916    0.482    3.966    2.111    0.787    4.548      9.300     42.440      9.450     42.520
    2.916    0.482    3.966    6.256    0.543    0.697      9.300     42.780      9.450     42.700
    1.074    0.569    5.282    2.111    0.787    4.548      9.450     42.180      9.750     42.520
    2.800    0.607    3.656    2.565    0.504    3.190      9.750      4.590     10.350      5.630
    2.565    0.504    3.190    5.642    0.656    0.152      9.750      4.590     10.500      3.460
    3.228    0.182    3.385    6.210    0.653    0.590      9.750      7.710     10.500      9.700
    6.210    0.653    0.590    2.800    0.607    3.656      9.750      7.710     10.500      7.100
    3.661    0.837    2.029    6.082    0.604    5.983      9.750     21.910     10.200     20.960
    6.082    0.604    5.983    5.996    0.560    0.363      9.750     21.910     10.200     22.000
    1.074    0.569    5.282    6.256    0.543    0.697      9.750     42.700      9.900     42.780
    1.422    0.615    5.544    2.430    0.603    3.935      9.900     40.360     10.800     38.280
    2.430    0.603    3.935    1.074    0.569    5.282      9.900     40.360     12.000     42.440
    6.082    0.604    5.983    3.715    0.863    2.433     10.200     20.960     10.500     20.960
    5.996    0.560    0.363    1.383    0.811    5.548     10.200     22.000     10.950     23.820
    1.383    0.811    5.548    6.082    0.604    5.983     10.200     22.000     10.500     20.960
    5.184    0.171    1.327    1.445    0.387    4.571     10.350      1.470     10.650      0.610
    2.800    0.607    3.656    4.561    1.386    1.547     10.350      5.630     10.500      7.100
    4.561    1.386    1.547    2.565    0.504    3.190     10.350      5.630     10.950      5.280
    5.996    0.560    0.363    3.342    0.417    3.604     10.350     29.190     11.400     25.110
    3.342    0.417    3.604    3.351    0.678    2.965     10.350     29.190     15.000     32.910
    5.642    0.656    0.152    1.936    0.605    4.128     10.500      2.770     10.500      3.460
    1.936    0.605    4.128    2.565    0.504    3.190     10.500      3.460     10.950      5.280
    4.561    1.386    1.547    6.210    0.653    0.590     10.500      7.100     11.850      6.670
    6.210    0.653    0.590    1.130    0.631    4.673     10.500      9.700     11.400      9.700
    1.383    0.811    5.548    3.715    0.863    2.433     10.500     20.960     11.700     19.400
    1.445    0.387    4.571    5.615    0.543    0.075     10.650      0.610     10.350      0.090
    5.615    0.543    0.075    5.184    0.171    1.327     10.650      0.610     12.450      0.090
    1.936    0.605    4.128    5.184    0.171    1.327     10.650      2.510     13.800      1.910
    1.422    0.615    5.544    2.043    0.689    3.964     10.800     38.280     10.950     36.980
    2.043    0.689    3.964    2.430    0.603    3.935     10.800     38.280     11.850     38.020
    1.936    0.605    4.128    4.561    1.386    1.547     10.950      5.280     11.550      5.280
    5.996    0.560    0.363    5.741    0.457    0.642     10.950     23.820     11.400     25.110
    5.741    0.457    0.642    1.383    0.811    5.548     10.950     23.820     12.000     24.080
    3.351    0.678    2.965    2.043    0.689    3.964     10.950     36.980     11.550     36.810
    6.210    0.653    0.590    2.145    0.172    4.822     11.400      9.700     12.000      7.100
    2.145    0.172    4.822    1.130    0.631    4.673     11.400      9.700     12.750     10.310
    6.038    0.791    0.257    3.144    0.684    2.702     11.400     13.160     12.000     15.420
    6.038    0.791    0.257    3.144    0.684    2.702     12.000     15.420     13.200     15.930
    3.144    0.684    2.702    1.130    0.631    4.673     11.400     13.160     12.600     12.300
    6.038    0.791    0.257    2.762    0.260    3.213     11.400     17.490     12.750     17.230
    2.762    0.260    3.213    3.715    0.863    2.433     11.400     17.490     11.700     19.400
    3.342    0.417    3.604    5.741    0.457    0.642     11.400     25.110     12.000     24.080
    6.090    1.219    0.028    1.936    0.605    4.128     11.550      5.280     12.600      5.370
    6.090    1.219    0.028    4.561    1.386    1.547     11.550      5.280     12.000      6.580
    2.043    0.689    3.964    0.646    0.700    4.955     11.550     36.810     11.850     38.020
    0.646    0.700    4.955    3.351    0.678    2.965     11.550     36.810     12.000     36.200
    0.646    0.700    4.955    3.351    0.678    2.965     12.000     36.200     14.550     36.980
    3.728    0.856    2.097    1.074    0.569    5.282     11.550     43.040     12.000     42.440
    1.383    0.811    5.548    2.762    0.260    3.213     11.700     19.400     13.350     18.790
    6.210    0.653    0.590    6.194    0.345    0.079     11.850      6.670     12.000      7.100
    6.194    0.345    0.079    4.561    1.386    1.547     11.850      6.670     12.000      6.580
    0.646    0.700    4.955    2.430    0.603    3.935     11.850     38.020     13.800     39.140
    6.090    1.219    0.028    6.194    0.345    0.079     12.000      6.580     12.750      6.320
    6.194    0.345    0.079    2.145    0.172    4.822     12.000      7.100     13.800      7.620
    3.342    0.417    3.604    1.383    0.811    5.548     12.000     24.080     14.100     23.560
    2.430    0.603    3.935    3.728    0.856    2.097     12.000     42.440     13.350     42.520
    6.090    1.219    0.028    0.781    0.872    5.997     12.600      5.370     12.750      6.320
    0.781    0.872    5.997    1.936    0.605    4.128     12.600      5.370     13.500      5.370
    1.130    0.631    4.673    3.935    0.727    2.320     12.600     12.300     12.750     10.310
    3.935    0.727    2.320    3.144    0.684    2.702     12.600     12.300     12.750     12.380
    0.781    0.872    5.997    6.194    0.345    0.079     12.750      6.320     13.650      6.150
    3.935    0.727    2.320    2.145    0.172    4.822     12.750     10.310     13.350      9.960
    3.144    0.684    2.702    4.123    0.134    2.441     12.750     12.380     13.650     15.680
    4.123    0.134    2.441    3.935    0.727    2.320     12.750     12.380     16.050     11.000
    6.038    0.791    0.257    5.260    0.380    0.432     12.750     17.230     13.200     15.930
    5.260    0.380    0.432    2.762    0.260    3.213     12.750     17.230     13.500     17.320
    3.144    0.684    2.702    5.260    0.380    0.432     13.200     15.930     13.650     15.680
    2.145    0.172    4.822    5.810    0.532    0.676     13.350      9.960     13.950      8.400
    5.810    0.532    0.676    3.935    0.727    2.320     13.350      9.960     15.300      9.700
    2.762    0.260    3.213    2.878    0.579    2.869     13.350     18.790     13.500     17.320
    2.878    0.579    2.869    1.383    0.811    5.548     13.350     18.790     15.150     19.660
    0.781    0.872    5.997    5.328    0.887    1.094     13.500      5.370     13.650      6.150
    5.328    0.887    1.094    1.936    0.605    4.128     13.500      5.370     14.250      4.590
    2.878    0.579    2.869    5.260    0.380    0.432     13.500     17.320     14.250     16.710
    6.194    0.345    0.079    5.328    0.887    1.094     13.650      6.150     13.800      6.410
    4.123    0.134    2.441    5.260    0.380    0.432     13.650     15.680     14.250     16.710
    5.184    0.171    1.327    5.769    0.435    0.806     13.800      1.910     13.650      0.090
    5.769    0.435    0.806    1.936    0.605    4.128     13.800      1.910     14.700      3.460
    6.194    0.345    0.079    6.179    0.349    0.217     13.800      6.410     13.800      7.620
    6.179    0.349    0.217    5.328    0.887    1.094     13.800      6.410     14.850      6.150
    6.179    0.349    0.217    2.145    0.172    4.822     13.800      7.620     13.950      7.710
    2.430    0.603    3.935    4.641    0.617    1.927     13.800     39.140     13.950     42.000
    4.641    0.617    1.927    0.646    0.700    4.955     13.800     39.140     15.300     38.280
    2.145    0.172    4.822    6.122    0.643    5.989     13.950      7.710     13.950      8.400
    6.122    0.643    5.989    6.179    0.349    0.217     13.950      7.710     14.850      7.360
    6.122    0.643    5.989    5.810    0.532    0.676     13.950      8.400     15.300      9.010
    3.342    0.417    3.604    5.047    0.606    1.210     14.100     23.560     15.450     24.850
    5.047    0.606    1.210    1.383    0.811    5.548     14.100     23.560     15.150     19.660
    4.885    0.472    2.132    1.936    0.605    4.128     14.250      4.590     14.700      3.460
    5.328    0.887    1.094    4.885    0.472    2.132     14.250      4.590     15.150      4.590
    4.123    0.134    2.441    2.878    0.579    2.869     14.250     16.710     16.500     16.450
    4.641    0.617    1.927    1.283    0.745    5.491     14.250     42.180     14.700     42.440
    3.351    0.678    2.965    3.221    0.550    3.087     14.550     36.980     15.000     32.910
    3.221    0.550    3.087    0.646    0.700    4.955     14.550     36.980     15.300     38.280
    5.769    0.435    0.806    4.885    0.472    2.132     14.700      3.460     15.450      3.550
    5.786    0.292    0.320    6.179    0.349    0.217     14.850      6.150     14.850      7.360
    5.786    0.292    0.320    5.328    0.887    1.094     14.850      6.150     15.150      4.590
    5.786    0.292    0.320    6.122    0.643    5.989     14.850      7.360     15.450      7.880
    3.221    0.550    3.087    3.342    0.417    3.604     15.000     32.910     16.500     31.870
    5.786    0.292    0.320    4.885    0.472    2.132     15.150      4.590     15.300      4.500
    5.047    0.606    1.210    2.878    0.579    2.869     15.150     19.660     18.000     17.840
    4.885    0.472    2.132    5.736    1.148    0.289     15.300      4.500     15.450      3.550
