# segment file written by condition_segs: version 05/07/22
# some SrTiO3 data from http://mimp.materials.cmu.edu/~gr20/Grain_Boundary_Data_Archive/SrTiO3_1/SrT
# comment: Some SrTiO3 data from the Grain_Boundary_Data_Archive                                               
#   phi1     PHI      phi2     phi1     PHI      phi2        x1         y1         x2         y2 
    3.273    0.591    3.039    5.879    0.826    0.155      9.300     35.510     10.200     34.640
    3.273    0.591    3.039    5.879    0.826    0.155     10.200     34.640     10.200     30.830
    3.331    0.189    2.260    3.715    0.862    2.431      9.450     21.220     10.200     21.480
    2.432    0.602    3.932    1.073    0.571    5.287      9.450     41.140     10.950     42.700
    3.229    0.185    3.384    6.208    0.650    0.591      9.900      7.970     10.500     10.570
    6.208    0.650    0.591    2.810    0.604    3.648      9.900      7.970     10.050      7.880
    5.825    0.396    1.087    6.208    0.650    0.591     10.050      7.880     10.500      7.970
    5.994    0.561    0.364    3.343    0.418    3.602     10.050     30.740     11.400     25.110
    3.343    0.418    3.602    5.879    0.826    0.155     10.050     30.740     10.200     30.830
    3.331    0.189    2.260    1.382    0.810    5.550     10.200     21.480     10.350     23.300
    1.382    0.810    5.550    3.715    0.862    2.431     10.200     21.480     12.000     19.920
    3.273    0.591    3.039    3.343    0.418    3.602     10.200     30.830     13.950     33.690
    3.273    0.591    3.039    3.343    0.418    3.602     13.950     33.690     16.500     32.560
    5.621    0.547    0.067    1.426    0.390    4.584     10.350      0.090     10.800      1.730
    1.936    0.605    4.128    5.636    0.657    0.161     10.350      4.240     10.500      4.500
    1.129    0.632    4.675    3.229    0.185    3.384     10.350     11.000     10.500     13.680
    5.994    0.561    0.364    1.382    0.810    5.550     10.350     23.300     11.400     25.110
    1.925    0.506    5.098    4.725    0.367    0.974     10.500      3.460     10.950      2.170
    1.936    0.605    4.128    5.825    0.396    1.087     10.500      4.500     11.700      5.890
    6.208    0.650    0.591    3.923    0.447    2.481     10.500      7.970     12.000      8.490
    3.923    0.447    2.481    5.825    0.396    1.087     10.500      7.970     11.550      7.360
    3.229    0.185    3.384    5.569    0.825    0.420     10.500     10.570     10.500     10.740
    5.569    0.825    0.420    6.208    0.650    0.591     10.500     10.570     11.550     10.310
    6.036    0.793    0.256    1.129    0.632    4.675     10.500     13.680     10.950     13.940
    1.936    0.605    4.128    4.725    0.367    0.974     10.650      3.550     12.750      2.680
    5.569    0.825    0.420    1.129    0.632    4.675     10.650     11.000     12.450     11.520
    1.426    0.390    4.584    5.200    0.167    1.326     10.800      1.730     10.800      1.910
    5.200    0.167    1.326    5.621    0.547    0.067     10.800      1.730     12.450      1.130
    5.200    0.167    1.326    1.925    0.506    5.098     10.800      1.910     10.950      2.170
    5.200    0.167    1.326    4.725    0.367    0.974     10.950      2.170     12.300      2.250
    6.036    0.793    0.256    5.737    0.960    0.338     10.950     13.940     11.850     16.710
    6.036    0.793    0.256    5.737    0.960    0.338     11.850     16.710     13.500     16.970
    5.737    0.960    0.338    1.129    0.632    4.675     10.950     13.940     12.150     13.420
    1.422    0.615    5.544    0.641    0.701    4.961     10.950     37.330     10.950     38.360
    0.641    0.701    4.961    3.273    0.591    3.039     10.950     37.330     14.400     37.240
    0.641    0.701    4.961    3.273    0.591    3.039     14.400     37.240     15.450     39.060
    2.432    0.602    3.932    0.641    0.701    4.961     10.950     38.360     13.800     40.180
    2.432    0.602    3.932    1.831    0.046    5.071     10.950     42.700     11.400     42.780
    1.073    0.571    5.287    1.831    0.046    5.071     10.950     42.700     11.250     43.040
    3.343    0.418    3.602    1.382    0.810    5.550     11.400     25.110     14.100     24.080
    5.825    0.396    1.087    3.031    0.364    3.064     11.550      7.360     11.700      5.890
    3.031    0.364    3.064    3.923    0.447    2.481     11.550      7.360     12.150      7.880
    5.569    0.825    0.420    2.117    0.173    4.851     11.550     10.310     12.300     10.570
    2.117    0.173    4.851    6.208    0.650    0.591     11.550     10.310     12.000      8.490
    3.031    0.364    3.064    1.936    0.605    4.128     11.700      5.890     13.200      6.410
    2.432    0.602    3.932    3.754    0.841    2.073     11.700     42.950     12.150     43.040
    2.117    0.173    4.851    3.923    0.447    2.481     12.000      8.490     12.150      8.230
    6.036    0.793    0.256    2.767    0.264    3.215     12.000     18.530     12.750     18.100
    3.715    0.862    2.431    2.767    0.264    3.215     12.000     18.530     12.000     19.920
    1.382    0.810    5.550    2.767    0.264    3.215     12.000     19.920     13.200     19.570
    3.031    0.364    3.064    6.177    0.335    0.089     12.150      7.880     13.050      7.360
    6.177    0.335    0.089    3.923    0.447    2.481     12.150      7.880     12.150      8.230
    2.117    0.173    4.851    6.177    0.335    0.089     12.150      8.230     13.500      9.010
    2.005    0.409    3.966    1.129    0.632    4.675     12.150     13.420     12.450     12.040
    5.737    0.960    0.338    2.005    0.409    3.966     12.150     13.420     13.050     13.940
    4.725    0.367    0.974    5.800    0.411    0.183     12.300      2.250     12.750      2.680
    5.800    0.411    0.183    5.200    0.167    1.326     12.300      2.250     13.200      1.210
    5.569    0.825    0.420    5.800    0.530    0.687     12.300     10.570     12.450     11.340
    5.800    0.530    0.687    2.117    0.173    4.851     12.300     10.570     13.500      9.010
    5.621    0.547    0.067    1.954    0.602    3.947     12.450      1.130     12.450      0.090
    1.954    0.602    3.947    5.200    0.167    1.326     12.450      1.130     13.200      1.210
    5.569    0.825    0.420    3.933    0.727    2.321     12.450     11.340     12.450     11.520
    3.933    0.727    2.321    5.800    0.530    0.687     12.450     11.340     15.450     11.000
    3.933    0.727    2.321    1.129    0.632    4.675     12.450     11.520     12.450     12.040
    3.933    0.727    2.321    2.005    0.409    3.966     12.450     12.040     13.800     13.160
    5.800    0.411    0.183    1.936    0.605    4.128     12.750      2.680     13.650      3.200
    2.767    0.264    3.215    2.880    0.578    2.869     12.750     18.100     13.200     19.570
    2.880    0.578    2.869    6.036    0.793    0.256     12.750     18.100     13.650     17.230
    3.031    0.364    3.064    5.328    0.887    1.095     13.050      7.360     13.200      6.410
    5.328    0.887    1.095    6.177    0.335    0.089     13.050      7.360     13.800      7.620
    5.737    0.960    0.338    4.119    0.135    2.443     13.050     13.940     13.500     16.970
    4.119    0.135    2.443    2.005    0.409    3.966     13.050     13.940     13.800     13.160
    5.800    0.411    0.183    1.954    0.602    3.947     13.200      1.210     13.800      1.210
    5.328    0.887    1.095    1.936    0.605    4.128     13.200      6.410     13.800      5.540
    2.880    0.578    2.869    1.382    0.810    5.550     13.200     19.570     15.000     21.130
    5.800    0.530    0.687    6.177    0.335    0.089     13.500      9.010     13.650      8.920
    4.119    0.135    2.443    6.036    0.793    0.256     13.500     16.970     13.650     17.230
    5.800    0.411    0.183    5.769    0.434    0.808     13.650      3.200     13.800      1.210
    5.769    0.434    0.808    1.936    0.605    4.128     13.650      3.200     14.250      4.240
    6.177    0.335    0.089    6.167    0.344    0.230     13.650      8.920     13.800      7.620
    6.167    0.344    0.230    5.800    0.530    0.687     13.650      8.920     14.850      8.920
    4.119    0.135    2.443    2.880    0.578    2.869     13.650     17.230     16.500     17.490
    5.769    0.434    0.808    1.954    0.602    3.947     13.800      1.210     14.550      0.090
    1.936    0.605    4.128    4.881    0.479    2.134     13.800      5.540     14.250      4.240
    4.881    0.479    2.134    5.328    0.887    1.095     13.800      5.540     14.850      6.150
    5.328    0.887    1.095    6.167    0.344    0.230     13.800      7.620     14.700      7.450
    4.119    0.135    2.443    3.933    0.727    2.321     13.800     13.160     16.050     11.860
    2.432    0.602    3.932    4.640    0.619    1.926     13.800     40.180     13.800     42.440
    4.640    0.619    1.926    0.641    0.701    4.961     13.800     40.180     15.450     39.060
    3.343    0.418    3.602    5.045    0.607    1.213     14.100     24.080     15.600     25.630
